Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","756","Switzerland","5420","Yield","02292","Raw milk of goats","2018","2018","hg/An","6301","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","02292","Raw milk of goats","2018","2018","tonnes","23200","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5318","Milk Animals","02292","Raw milk of goats","2018","2018","Head","36821","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5420","Yield","02291","Raw milk of sheep","2018","2018","hg/An","4490","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","02291","Raw milk of sheep","2018","2018","tonnes","6500","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5318","Milk Animals","02291","Raw milk of sheep","2018","2018","Head","14476","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5111","Stocks","02122","Sheep","2018","2018","Head","343470","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21514","Sheep fat, unrendered","2018","2018","tonnes","265.7","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21514","Sheep fat, unrendered","2018","2018","Head","242943","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","02941","Shorn wool, greasy, including fleece-washed shorn wool","2018","2018","tonnes","718","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","22212","Skim milk and whey powder","2018","2018","tonnes","23268.84","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","22110.02","Skim milk of cows","2018","2018","tonnes","766813.9","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5111","Stocks","02140","Swine / pigs","2018","2018","Head","1417549","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21523","Tallow","2018","2018","tonnes","10800","T","Unofficial figure"
"QCL","Crops and livestock products","756","Switzerland","5112","Stocks","02152","Turkeys","2018","2018","1000 Head","84","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","22130.02","Whey, dry","2018","2018","tonnes","58000","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","22211","Whole milk powder","2018","2018","tonnes","22180.2","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","22221.01","Whole milk, evaporated","2018","2018","tonnes","3724.83","I","Imputed value"
