Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01352","Kiwi fruit","2018","2018","ha","19","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01352","Kiwi fruit","2018","2018","hg/ha","249474","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01352","Kiwi fruit","2018","2018","tonnes","474","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01254","Leeks and other alliaceous vegetables","2018","2018","ha","461","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01254","Leeks and other alliaceous vegetables","2018","2018","hg/ha","255770","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01254","Leeks and other alliaceous vegetables","2018","2018","tonnes","11791","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01214","Lettuce and chicory","2018","2018","ha","3305","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01214","Lettuce and chicory","2018","2018","hg/ha","190726","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01214","Lettuce and chicory","2018","2018","tonnes","63035","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01441","Linseed","2018","2018","ha","174","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01441","Linseed","2018","2018","hg/ha","19540","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01441","Linseed","2018","2018","tonnes","340","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01709.02","Lupins","2018","2018","ha","163","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01709.02","Lupins","2018","2018","hg/ha","28773","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01709.02","Lupins","2018","2018","tonnes","469","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","0112","Maize (corn)","2018","2018","ha","13794","A","Official figure"
