Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01443","Rape or colza seed","2012","2012","100 g/ha","31216","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01353.01","Raspberries","2012","2012","100 g/ha","124121","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","0116","Rye","2012","2012","100 g/ha","59215","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","0141","Soya beans","2012","2012","100 g/ha","28111","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01215","Spinach","2012","2012","100 g/ha","141324","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01354","Strawberries","2012","2012","100 g/ha","179577","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01801","Sugar beet","2012","2012","100 g/ha","870731","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01445","Sunflower seed","2012","2012","100 g/ha","26051","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01234","Tomatoes","2012","2012","100 g/ha","1904936","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01191","Triticale","2012","2012","100 g/ha","58462","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01970","Unmanufactured tobacco","2012","2012","100 g/ha","21420","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01376","Walnuts, in shell","2012","2012","100 g/ha","15200","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","0111","Wheat","2012","2012","100 g/ha","57763","A","Official figure"
