Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","756","Switzerland","5521","Feed","S2907","Starchy Roots","2018","2018","1000 tonnes","75","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5527","Seed","S2907","Starchy Roots","2018","2018","1000 tonnes","24","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2907","Starchy Roots","2018","2018","1000 tonnes","20","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2907","Starchy Roots","2018","2018","1000 tonnes","6","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5154","Other uses (non-food)","S2907","Starchy Roots","2018","2018","1000 tonnes","1","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5170","Residuals","S2907","Starchy Roots","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5142","Food","S2907","Starchy Roots","2018","2018","1000 tonnes","400","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","645","Food supply quantity (kg/capita/yr)","S2907","Starchy Roots","2018","2018","kg","46.93","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","664","Food supply (kcal/capita/day)","S2907","Starchy Roots","2018","2018","kcal/capita/day","87","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","661","Food supply (kcal)","S2907","Starchy Roots","2018","2018","million kcal","270170","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","674","Protein supply quantity (g/capita/day)","S2907","Starchy Roots","2018","2018","g/capita/day","2.06","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","671","Protein supply quantity (g)","S2907","Starchy Roots","2018","2018","g","6421","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","684","Fat supply quantity (g/capita/day)","S2907","Starchy Roots","2018","2018","g/capita/day","0.13","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","681","Fat supply quantity (g)","S2907","Starchy Roots","2018","2018","g","401","E","Estimated value"
